id,lemma,pos,count
8512,бадыль,NOUN,5
8513,спачынуць,VERB,5
8514,збяднець,VERB,5
8515,хрыбет,NOUN,5
8516,пушчаць,VERB,5
8517,ставок,NOUN,5
8518,уцяка,NOUN,5
8519,шапацець,VERB,5
8520,непакоіць,VERB,5
8521,засыхаць,VERB,5
8522,соля,VERB,5
8523,закідаць,VERB,5
8524,яблыня,ADV,5
8525,крыўда,PROPN,5
8526,папа,ADV,5
8527,акрыляць,VERB,5
8528,аб’ць,VERB,5
8529,чуваць,NOUN,5
8530,іскрынка,NOUN,5
8531,калоссе,NOUN,5
8532,шпор,NOUN,5
8533,шумець,NOUN,5
8534,кратаць,VERB,5
8535,клічаш,VERB,5
8536,прорва,NOUN,5
8537,загарэцца,VERB,5
8538,ець,NOUN,5
8539,параход,NOUN,5
8540,ніз,NOUN,5
8541,песні,ADJ,5
8542,ключ,VERB,5
8543,недаступны,ADJ,5
8544,старэча,NOUN,5
8545,свінка,NOUN,5
8546,агняцвет,NOUN,5
8547,варта,ADJ,5
8548,голавы,ADJ,5
8549,галоў,PROPN,5
8550,адгалоскі,NOUN,5
8551,шабля,NOUN,5
8552,азёрны,ADJ,5
8553,параіць,VERB,5
8554,пасівелы,ADJ,5
8555,дзяўба,PRON,5
8556,яднаць,VERB,5
8557,загавор,NOUN,5
8558,луч,NOUN,5
8559,нябожчык,PROPN,5
8560,судзіць,NOUN,5
8561,рацыя,NOUN,5
8562,глух,NOUN,5
8563,малайчына,NOUN,5
8564,блісна,NOUN,5
8565,аддацца,VERB,5
8566,льў,NOUN,5
8567,упэўнены,ADJ,5
8568,антка,NOUN,5
8569,знаходзець,VERB,5
8570,пашча,NOUN,5
8571,банкятаваць,VERB,5
8572,нерат,NOUN,5
8573,багатшы,ADJ,5
8574,прывезці,VERB,5
8575,нясу,VERB,5
8576,расійскі,ADJ,5
8577,раздацца,VERB,5
8578,мерцвяк,NOUN,5
8579,цеста,ADV,5
8580,сотка,NOUN,5
8581,распаць,VERB,5
8582,прыязнь,NOUN,5
8583,задумны,ADJ,5
8584,струменіцца,VERB,5
8585,тапелец,NOUN,5
8586,зімне,ADJ,5
8587,ніякі,ADJ,5
8588,гавар,NOUN,5
8589,захаванне,NOUN,5
8590,працавіты,VERB,5
8591,схлусіць,VERB,5
8592,збаць,VERB,5
8593,шапокаць,VERB,5
8594,мураўёў,PROPN,5
8595,утрата,NOUN,5
8596,формула,NOUN,5
8597,дзедаўскі,ADJ,5
8598,муха,ADJ,5
8599,таўкуць,VERB,5
8600,насмерць,ADV,5
8601,жорава,NOUN,5
8602,зрачыся,VERB,5
8603,пасол,NOUN,5
8604,крыча,VERB,5
8605,звясці,VERB,5
8606,талака,NOUN,5
8607,бязбожны,ADJ,5
8608,зіхціць,VERB,5
8609,норма,NOUN,5
8610,іржава,NOUN,5
8611,бесклапотны,ADJ,5
8612,ложа,NOUN,5
8613,лапці,NOUN,5
8614,пападаць,VERB,5
8615,закіпаць,VERB,5
8616,чуйны,ADJ,5
8617,папоўскі,ADJ,5
8618,міна,PROPN,5
8619,смурод,NOUN,5
8620,шалёна,ADV,5
8621,друг,VERB,5
8622,дагадацца,VERB,5
8623,дэкрэт,NOUN,5
8624,дабыць,VERB,5
8625,галадаць,VERB,5
8626,воля,ADP,5
8627,бойне,NOUN,5
8628,сасоннік,NOUN,5
8629,узбраенне,NOUN,5
8630,сенца,NOUN,5
8631,зеніць,NOUN,5
8632,матаць,VERB,5
8633,паварот,NOUN,5
8634,болей,ADJ,5
8635,няшчыры,ADJ,5
8636,надоўга,ADV,5
8637,лужок,NOUN,5
8638,птушачка,NOUN,5
8639,зварыць,VERB,5
8640,пакутваць,VERB,5
8641,транзістар,NOUN,5
8642,доўы,ADV,5
8643,ціснцца,VERB,5
8644,спява,NOUN,5
8645,кладзіцца,VERB,5
8646,вырыць,VERB,5
8647,сходзіць,VERB,5
8648,шолах,NOUN,5
8649,магучы,ADJ,5
8650,маладзецкі,ADJ,5
8651,валодаць,VERB,5
8652,маланка,PROPN,5
8653,ляха,NOUN,5
8654,будаўнік,NOUN,5
8655,аба,NOUN,5
8656,жыр,NOUN,5
8657,якуба,PROPN,5
8658,гасцінны,ADJ,5
8659,хуткасць,NOUN,5
8660,зладзюга,NOUN,5
8661,яблычны,ADJ,5
8662,светласць,NOUN,5
8663,купіна,NOUN,5
8664,лась,NOUN,5
8665,сумі,VERB,5
8666,лацца,VERB,5
8667,мятлушка,NOUN,5
8668,пацяшацца,VERB,5
8669,задрыжыць,VERB,5
8670,манатка,NOUN,5
8671,пышна,ADV,5
8672,з'ява,NOUN,5
8673,усхадзіцца,VERB,5
8674,спадабацца,VERB,5
8675,бубен,NOUN,5
8676,мамачка,NOUN,5
8677,карлік,NOUN,5
8678,прыдворны,ADJ,5
8679,разлятацца,VERB,5
8680,ксяндзоў,NOUN,5
8681,натрудзіць,VERB,5
8682,знямець,VERB,5
8683,мінутак,NOUN,5
8684,нюхаць,VERB,5
8685,падказаць,VERB,5
8686,бедзен,NOUN,5
8687,аднастайна,ADV,5
8688,зязюць,NOUN,5
8689,пералівацца,VERB,5
8690,абцерці,VERB,5
8691,падрад,NOUN,5
8692,сцерці,VERB,5
8693,аканіца,NOUN,5
8694,гонкі,ADJ,5
8695,паняць,VERB,5
8696,здольнасць,NOUN,5
8697,казарма,NOUN,5
8698,ніцма,ADV,5
8699,уносіць,VERB,5
8700,мусаліні,PROPN,5
8701,развеяць,NOUN,5
8702,смерч,NOUN,5
8703,надысьці,VERB,5
8704,ўлетак,ADV,5
8705,дба,NOUN,5
8706,жывёла,ADJ,5
8707,праклят,NOUN,5
8708,плякі,NOUN,5
8709,ўсход,NOUN,5
8710,ад’язджаць,VERB,5
8711,грузавіка,NOUN,5
8712,кожанін,NOUN,5
8713,напевы,NOUN,5
8714,бяссільна,ADV,5
8715,струмень,NOUN,5
8716,пучка,NOUN,5
8717,раман,NOUN,5
8718,перада,NOUN,5
8719,пасыпацца,VERB,5
8720,прадстаўнік,NOUN,5
8721,крэмень,NOUN,5
8722,памерлы,ADJ,5
8723,ўстань,NOUN,5
8724,аздобіць,VERB,5
8725,мітусіцца,VERB,5
8726,куря,NOUN,5
8727,змусіць,VERB,5
8728,верны,VERB,5
8729,брат,ADJ,5
8730,ігнаца,NOUN,5
8731,сцяпанка,PROPN,5
8732,напомніць,VERB,5
8733,украйн,PROPN,5
8734,кароле,NOUN,5
8735,камяне,NOUN,5
8736,скрут,NOUN,5
8737,гарба,NOUN,5
8738,ціхнуць,VERB,5
8739,расступіцца,VERB,5
8740,задзівіцца,VERB,5
8741,ўвач,NOUN,5
8742,асколка,NOUN,5
8743,ірад,PROPN,5
8744,прыгожасць,NOUN,5
8745,анямець,VERB,5
8746,непадалёку,ADV,5
8747,клубіцца,VERB,5
8748,стрэха,NOUN,5
8749,дубок,NOUN,5
8750,дзёж,NOUN,5
8751,княжацкі,ADJ,5
8752,досвітка,NOUN,5
8753,задраць,VERB,5
8754,пагон,NOUN,5
8755,прыпыніць,VERB,5
8756,сярдзіта,ADJ,5
8757,дажджоў,NOUN,5
8758,яма,PROPN,5
8759,апрача,ADP,5
8760,звозіць,VERB,5
8761,здзіўляцца,VERB,5
8762,зніак,NOUN,5
8763,мяцеліца,PROPN,5
8764,затрэсці,VERB,5
8765,дзед,PROPN,5
8766,разводхаць,VERB,5
8767,дзюба,NOUN,5
8768,мяркаваць,VERB,5
8769,дыш,NOUN,5
8770,поля,PROPN,5
8771,недалёк,ADV,5
8772,міхалок,PROPN,5
8773,выціраць,VERB,5
8774,быць,PROPN,5
8775,акрэсліць,VERB,5
8776,мірыцца,VERB,5
8777,сцерагуць,VERB,5
8778,пайка,NOUN,5
8779,ледзь,VERB,5
8780,прасвета,NOUN,5
8781,дурман,NOUN,5
8782,бяроза,PROPN,5
8783,палярны,ADJ,5
8784,японца,NOUN,5
8785,вадзянік,NOUN,5
8786,зблудзіць,VERB,5
8787,сцяць,VERB,5
8788,зжыць,VERB,5
8789,загудзіць,VERB,5
8790,тонуць,VERB,5
8791,прыблуда,NOUN,5
8792,недарма,ADV,5
8793,сіня,ADJ,5
8794,навакол,ADP,5
8795,дабрабыт,NOUN,5
8796,ветр,NOUN,5
8797,ціха,PART,5
8798,выцерці,VERB,5
8799,сталінскы,ADJ,5
8800,глум,NOUN,5
8801,маніцца,VERB,5
8802,затрасцца,VERB,5
8803,мара,PROPN,5
8804,пакрыты,ADJ,5
8805,гранічны,ADJ,5
8806,прастка,NOUN,5
8807,кабеціна,NOUN,5
8808,ўзад,NOUN,5
8809,перабыць,VERB,5
8810,сумны,NOUN,5
8811,узмахнуць,VERB,5
8812,храпка,NOUN,5
8813,людскасць,NOUN,5
8814,зложаць,VERB,5
8815,зблытаць,VERB,5
8816,бачыць,PROPN,5
8817,барсук,NOUN,5
8818,абіраць,VERB,5
8819,побыт,NOUN,5
8820,жыта,VERB,5
8821,труна,PROPN,5
8822,весялей,ADV,5
8823,вялізарны,ADJ,5
8824,гром,ADJ,5
8825,выб’цца,VERB,5
8826,пашаны,ADJ,5
8827,чый,NOUN,5
8828,стая,NOUN,5
8829,жандарскі,ADJ,5
8830,выкапаць,VERB,5
8831,кампазітар,NOUN,5
8832,д,NOUN,5
8833,братня,NOUN,5
8834,he,X,5
8835,тапчанін,NOUN,5
8836,юнасць,NOUN,5
8837,водны,ADJ,5
8838,кійк,NOUN,5
8839,вызваць,VERB,5
8840,млесці,VERB,5
8841,смела,NOUN,5
8842,вопратка,NOUN,5
8843,сіла,ADJ,5
8844,жывы,PRON,5
8845,пякуць,VERB,5
8846,пасварыцца,VERB,5
8847,напор,NOUN,5
8848,ноч,ADJ,5
8849,крыжавы,ADJ,5
8850,рада,PROPN,5
8851,клянуць,VERB,5
8852,татарскі,ADJ,5
8853,кайданы,ADJ,5
8854,ме,ADJ,5
8855,парожні,ADJ,5
8856,рў,VERB,5
8857,адрас,NOUN,5
8858,супраціўнік,NOUN,5
8859,галль,NOUN,5
8860,ляжа,NOUN,5
8861,забіць,ADJ,5
8862,змясці,VERB,5
